prescriber_id,state,specialty,brand_name,generic_name,total_claims,total_cost,total_patients,total_days_supply,is_fraud,fraud_type,cost_per_patient,cost_per_claim,days_per_claim,patients_per_claim,anomaly_score,predicted_fraud,query,regulation_text,regulation_source,faiss_distance,reg_confidence,groq_called,explanation
1811434137,CA,Pharmacist,Arexvy,Rsvpref3 Antigen/As01e/Pf,82,26219.82,82.0,82,0,legitimate,319.7539024390244,319.7539024390244,1.0,1.0,-0.0534372894385383,1,suspicious prescription pattern Rsvpref3 Antigen/As01e/Pf,"quoted as final) Page 61/225 3.2. Where the primary source reports a suspect or interacting branded/proprietary medicinal product name without indicating the pharmaceutical form/presentation of the product and where the proprietary/branded medicinal product can be one of two or more possible pharmaceutical forms/presentations, which have different compositions in a country, the ICSR should be popu",EMA Guideline on Pharmacovigilance,1.1632,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1457350902,TX,Family Practice,Alprazolam,Alprazolam,47,3679735.644883969,14.0,1731,1,cost_fraud,262838.26034885494,78292.2477634887,36.82978723404256,0.2978723404255319,-0.2192898675663426,1,abnormal reimbursement cost fraud pharmaceutical Alprazolam,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,0.9448,OK,True,"Compliance Report:

1. This case is suspicious due to an unusually high total cost of $3,679,735.64 for 14 patients prescribed Alprazolam by a Family Practice prescriber.
2. The specific fraud pattern detected is cost_fraud, indicating potential overbilling or excessive prescribing.
3. The regulatory violation is related to health fraud products posing a direct health hazard, as excessive Alprazolam use can cause serious adverse effects.
4. Recommended action: Investigate the prescriber's billing practices and patient treatment plans to determine if excessive prescribing or billing occurred, and consider reporting to the FDA if necessary."
1356318406,TN,Family Practice,Ondansetron Hcl,Ondansetron Hcl,14,4366700.921983236,12.0,768,1,cost_fraud,363891.7434986031,311907.2087130883,54.85714285714285,0.8571428571428571,-0.3193758586180589,1,abnormal reimbursement cost fraud pharmaceutical Ondansetron Hcl,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,1.0222,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1780106559,IN,Nurse Practitioner,Diclofenac Sodium,Diclofenac Sodium,36,2971225.353426738,16.0,358,1,cost_fraud,185701.58458917117,82534.03759518717,9.944444444444445,0.4444444444444444,-0.2119260833372463,1,abnormal reimbursement cost fraud pharmaceutical Diclofenac Sodium,"FOOD AND DRUG ADMINISTRATION COMPLIANCE PROGRAM GUIDANCE MANUAL PROGRAM 7363.001 DATE OF ISSUANCE May 2007 COVER - PAGE 1 of 1 FORM FDA 2438g (electronic-09/2003) CHAPTER 63 - HEALTH FRAUD: HUMAN DRUGS SUBJECT: Fraudulent Drugs IMPLEMENTATION DATE June 1, 2007 COMPLETION DATE June 1, 2012 DATA REPORTING PRODUCT CODES PRODUCT/ASSIGNMENT CODES Use appropriate product coding for product/operation 630",FDA Compliance Program on Drug Fraud,0.9722,OK,True,"Compliance Report:

1. This case is suspicious due to an unusually high total cost of $2,971,225.35 for 16 patients prescribed Diclofenac Sodium by a Nurse Practitioner.
2. The specific fraud pattern detected is cost_fraud, indicating potential overcharging or excessive prescribing.
3. The regulatory violation is related to fraudulent drugs (Chapter 63, FDA Compliance Program 7363.001), which may involve misrepresentation of product codes or assignment codes.
4. Recommended action: The compliance officer should investigate the prescriber's practices, verify patient records, and review billing procedures to determine if fraudulent activity has occurred, and take appropriate enforcement action if necessary."
1972797892,MI,Rheumatology,Leflunomide,Leflunomide,10214,3638671.630707415,4672.0,3158,1,volume_fraud,778.8252634219638,356.2435510776792,0.309183473663599,0.4574113961229685,-0.3116095758765608,1,abnormal high prescription volume reporting requirements Leflunomide,"143 use in the FDA-required labeling of an approved/cleared medical product (as that term is 144 defined in this guidance). 145 146 • The term FDA-required labeling includes, but is not necessarily limited to, the labeling 147 reviewed and approved by FDA as part of the medical product premarket review process. 148 FDA-required labeling includes, for example: 149 150 - for a prescription human dru",FDA Guidance on Off-Label Use,1.08,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1104239417,PA,Physician Assistant,Ozempic,Semaglutide,66,66680.47,12.0,2078,0,legitimate,5556.705833333333,1010.3101515151516,31.484848484848484,0.1818181818181818,-0.0046665798123496,1,suspicious prescription pattern Semaglutide,"473 about medical products often employ marketing techniques that are effective at influencing 474 attitudes and behaviors of HCPs,42 and that how information is presented can impact HCP 475 impressions of that information.43 These marketing techniques can influence attitudes and 476 behavior, independent of the quality of the information, even among highly educated medical 477 professionals.44 47",FDA Guidance on Off-Label Use,1.2432,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1750768339,IA,Family Practice,Rybelsus,Semaglutide,356,95070.58,12.0,2880,1,off_label,7922.548333333333,267.05219101123595,8.089887640449438,0.0337078651685393,-0.0461706884057517,1,off-label prescription Semaglutide Family Practice reporting requirements,"group of patients;  a different route or method of administration;  a different posology. Guideline on good pharmacovigilance practices (GVP) – Module VI (Rev 2) EMA/873138/2011 Rev 2 Track-change version following public consultation (not to be quoted as final) Page 48/225 With regard to the management of individual reports referring to the off-label use of a product, the responsibilities of th",EMA Guideline on Pharmacovigilance,0.8943,OK,True,"Compliance Report:

1. This case is suspicious due to a high-cost, low-patient prescription pattern of Semaglutide by a Family Practice prescriber.
2. The specific fraud pattern detected is off-label use.
3. The regulatory violation is the use of Semaglutide for a different indication, posology, or patient group than approved.
4. Recommended action: Investigate the prescriber's rationale for off-label use and verify patient diagnoses to determine if the use is justified, then consider reporting to regulatory authorities if necessary, in accordance with EMA Guideline on Pharmacovigilance (GVP Module VI)."
1376688820,IN,Urology,Nitrofurantoin Mono-Macro,Nitrofurantoin Monohyd/M-Cryst,245,3238.06,179.0,1433,0,legitimate,18.08972067039106,13.216571428571427,5.848979591836735,0.7306122448979592,-0.000930536001868,1,suspicious prescription pattern Nitrofurantoin Monohyd/M-Cryst,three weeks after one injection of the company’s drug X. The employee sends a memo to the drug safety department with the clinical details he remembered on the patient and also includes Dr.Wiener’s address and phone number. No patient’s qualifying descriptor available. Report should be followed-up. 8 Dr. Lindbergh on a commercial airplane flight from Paris to New York is seated next to an employee,EMA Guideline on Pharmacovigilance,1.3273,BLOCKED,False,"⚠️ ANOMALY MATHEMATICALLY DETECTED — NO REGULATORY MATCH FOUND — MANUAL REVIEW REQUIRED. The anomaly detection model flagged this prescriber, but no sufficiently relevant regulatory reference was found in the knowledge base (FAISS distance > threshold). A compliance officer must review this case independently without AI guidance."
1912333451,OR,Nurse Practitioner,Eliquis,Apixaban,38,3046790.0592251867,11.0,2400,1,cost_fraud,276980.914475017,80178.68576908387,63.1578947368421,0.2894736842105263,-0.2167429145169254,1,abnormal reimbursement cost fraud pharmaceutical Apixaban,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,0.9004,OK,True,"Compliance Report:

1. This case is suspicious due to the unusually high total cost of Apixaban prescriptions from a single Nurse Practitioner for only 11 patients.
2. The specific fraud pattern detected is cost_fraud, indicating potential overbilling or inflated costs.
3. The regulatory violation is related to health fraud products posing a direct health hazard, as excessive costs may lead to misuse or overuse of the medication.
4. Recommended action: Investigate the Nurse Practitioner's prescribing practices and verify the legitimacy of the claims to determine if further action is required to prevent potential harm to patients and ensure compliance with FDA regulations."
1326009739,TX,Nurse Practitioner,Alprazolam,Alprazolam,25,5138271.387144813,14.0,1748,1,cost_fraud,367019.3847960581,205530.85548579253,69.92,0.56,-0.2927948455336197,1,abnormal reimbursement cost fraud pharmaceutical Alprazolam,"potential, emerging, and active investigations. Health fraud products that pose a direct health hazard to the user are the agency’s highest health fraud enforcement priority. For the purposes of this compliance program, a product presents a direct health hazard if the drug is likely to cause death, injury, or other serious adverse effect when used as labeled or in a customary manner. [See Complian",FDA Compliance Program on Drug Fraud,0.9448,OK,True,"Compliance Report:

1. This case is suspicious due to the unusually high total cost of $5,138,271.39 for 14 patients prescribed Alprazolam by a Nurse Practitioner.
2. The specific fraud pattern detected is cost_fraud, indicating potential overcharging or excessive prescribing.
3. The regulatory violation is related to health fraud products posing a direct health hazard, as excessive Alprazolam use can cause serious adverse effects.
4. Recommended action: Investigate the Nurse Practitioner's prescribing practices and verify the medical necessity of the prescribed amounts to determine if further action is required to prevent potential harm to patients and financial fraud."
